id_pa;nazwa_podmiotu;rpt_podmiotu;medium;plan_data_oddania;przepustowosc;czy_szkola;wojewodztwo;powiat;kod_terc;gmina;kod_simc;miejscowosc;kod_ulic;ulica;numer_porzadkowy;x92;y92;x84;y84;teryt_g;wkt;ulica_old;teryt_p;teryt_w
1324466;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;11A;384014;354531;17,3448850000;51,0458650000;0215033;POINT(384013.968876097 354531.038089507);;0215;02
1324465;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;7A;383952;354344;17,3440610000;51,0441710000;0215033;POINT(383951.995109995 354344.028147773);;0215;02
1324416;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;4;384014;354370;17,3449370000;51,0444170000;0215033;POINT(384013.995957343 354369.994229834);;0215;02
1390533;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;17E;384120;354625;17,3463670000;51,0467310000;0215033;POINT(384119.978659723 354624.971586202);;0215;02
1390534;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;15A;384063;354519;17,3455880000;51,0457670000;0215033;POINT(384062.985692709 354519.037561727);;0215;02
267638;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;25;384164;354709;17,3469680000;51,0474950000;0215033;POINT(384163.997893736 354708.953792934);;0215;02
267639;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;24;384198;354670;17,3474650000;51,0471520000;0215033;POINT(384197.967645233 354670.043893329);;0215;02
267637;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;23;384159;354688;17,3469030000;51,0473060000;0215033;POINT(384158.971763873 354688.046459673);;0215;02
267640;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;28;384221;354703;17,3477830000;51,0474530000;0215033;POINT(384221.000879065 354703.003672869);;0215;02
267614;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;1;383884;354232;17,3431270000;51,0431500000;0215033;POINT(383883.991379525 354232.004029698);;0215;02
267623;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;7;383931;354316;17,3437710000;51,0439150000;0215033;POINT(383931.033263819 354316.02768852);;0215;02
267631;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;9;384023;354466;17,3450350000;51,0452820000;0215033;POINT(384023.023759285 354465.994701799);;0215;02
267636;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;11;384043;354492;17,3453120000;51,0455200000;0215033;POINT(384043.028625439 354492.01507979);;0215;02
225726;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;19A;384118;354626;17,3463380000;51,0467400000;0215033;POINT(384117.969034022 354626.017662753);;0215;02
225729;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;26;384211;354688;17,3476450000;51,0473160000;0215033;POINT(384210.989456364 354687.991442264);;0215;02
225728;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;13;384071;354545;17,3456940000;51,0460020000;0215033;POINT(384071.000180829 354544.993712009);;0215;02
225727;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;30;384233;354720;17,3479490000;51,0476080000;0215033;POINT(384233.01910343 354719.972826189);;0215;02
225725;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;17A;384049;354594;17,3453640000;51,0464380000;0215033;POINT(384048.964823348 354593.979582396);;0215;02
225724;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;8;384043;354423;17,3453340000;51,0448990000;0215033;POINT(384043.019522511 354422.949096881);;0215;02
238079;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;5;383918;354286;17,3435950000;51,0436420000;0215033;POINT(383918.017431104 354285.957915399);;0215;02
238090;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;21;384148;354663;17,3467550000;51,0470790000;0215033;POINT(384148.034861152 354663.045526184);;0215;02
238070;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;3;383892;354255;17,3432340000;51,0433580000;0215033;POINT(383892.009706 354254.956973163);;0215;02
1048148;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;19;384132;354640;17,3465340000;51,0468690000;0215033;POINT(384132.025040763 354640.049189025);;0215;02
1048149;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;16;384125;354553;17,3464620000;51,0460850000;0215033;POINT(384125.02341383 354553.011727577);;0215;02
1048150;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;18;384146;354579;17,3467530000;51,0463230000;0215033;POINT(384146.008457249 354579.010472527);;0215;02
