id;adres_id;wojewodztwo;powiat;gmina;miejscowosc;miejscowosc_nadrzedna;ulica;nr_domu;x92;y92;nazwa_podmiotu;maksymalna_predkosc;medium;internet_stacjonarny;telefon_stacjonarny;telewizja;wkt;teryt_g;teryt_p;teryt_w
12415;528413;DOLNOŚLĄSKIE;ŚREDZKI;ŚRODA ŚLĄSKA;CIECHÓW;CIECHÓW;UL. KOŚCIELNA;4;330100;365660;ORANGE POLSKA S.A.;DO 4;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(330100 365660);0218043;0218;02
92834;525948;DOLNOŚLĄSKIE;ŚREDZKI;ŚRODA ŚLĄSKA;WROCISŁAWICE;WROCISŁAWICE;;21;324461;365524;ORANGE POLSKA S.A.;DO 80;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(324461 365524);0218043;0218;02
95660;1717757;DOLNOŚLĄSKIE;ŚREDZKI;MALCZYCE;MALCZYCE;MALCZYCE;UL. RÓŻANA;1;324877;375024;ORANGE POLSKA S.A.;DO 80;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(324877 375024);0218022;0218;02
131487;3917190;DOLNOŚLĄSKIE;ŚREDZKI;MIĘKINIA;MROZÓW;MROZÓW;UL. WIDOKOWA;7;345711;371638;ORANGE POLSKA S.A.;DO 20;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(345711 371638);0218032;0218;02
330143;240095;DOLNOŚLĄSKIE;ŚREDZKI;ŚRODA ŚLĄSKA;ŚRODA ŚLĄSKA;ŚRODA ŚLĄSKA;UL. MARII SKŁODOWSKIEJ-CURIE;20;332245;368634;ORANGE POLSKA S.A.;DO 20;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(332245 368634);0218043;0218;02
348638;582606;DOLNOŚLĄSKIE;ŚREDZKI;ŚRODA ŚLĄSKA;ŚRODA ŚLĄSKA;ŚRODA ŚLĄSKA;UL. WILLOWA;3;332508;368930;NETIA S.A.;POWYŻEJ 100;ŚWIATŁOWODOWE;TAK;NIE;TAK;POINT(332508 368930);0218043;0218;02
534698;5255608;DOLNOŚLĄSKIE;ŚREDZKI;MIĘKINIA;WILKSZYN;WILKSZYN;UL. WIŚNIOWA;17;350294;371357;ORANGE POLSKA S.A.;DO 10;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(350294 371357);0218032;0218;02
682293;4153778;DOLNOŚLĄSKIE;ŚREDZKI;MIĘKINIA;KSIĘGINICE;KSIĘGINICE;UL. MAGNOLIOWA;8;344144;377950;ORANGE POLSKA S.A.;DO 20;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(344144 377950);0218032;0218;02
709776;228775;DOLNOŚLĄSKIE;ŚREDZKI;KOSTOMŁOTY;SZYMANOWICE;SZYMANOWICE;;9;337462;356680;ORANGE POLSKA S.A.;DO 8;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(337462 356680);0218012;0218;02
753212;1720729;DOLNOŚLĄSKIE;ŚREDZKI;ŚRODA ŚLĄSKA;SZCZEPANÓW;SZCZEPANÓW;UL. KRÓTKA;8;334576;372450;ORANGE POLSKA S.A.;DO 10;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(334576 372450);0218043;0218;02
