id_pa;nazwa_podmiotu;rpt_podmiotu;medium;plan_data_oddania;przepustowosc;czy_szkola;wojewodztwo;powiat;kod_terc;gmina;kod_simc;miejscowosc;kod_ulic;ulica;numer_porzadkowy;x92;y92;x84;y84;teryt_g;wkt;ulica_old;teryt_p;teryt_w
142575;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214084;TWARDOGÓRA;987390;TWARDOGÓRA;9582;UL. TADEUSZA KOŚCIUSZKI;3;392712;390175;17,4582900000;51,3680540000;0214083;POINT(392712.009556505 390174.972403044);;0214;02
1087582;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214084;TWARDOGÓRA;987390;TWARDOGÓRA;9582;UL. TADEUSZA KOŚCIUSZKI;15;392593;390193;17,4565750000;51,3681940000;0214083;POINT(392592.996195277 390193.04652146);;0214;02
1087577;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214084;TWARDOGÓRA;987390;TWARDOGÓRA;9582;UL. TADEUSZA KOŚCIUSZKI;11;392635;390189;17,4571800000;51,3681660000;0214083;POINT(392635.030440579 390189.047848837);;0214;02
1087575;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214084;TWARDOGÓRA;987390;TWARDOGÓRA;9582;UL. TADEUSZA KOŚCIUSZKI;7;392676;390181;17,4577710000;51,3681010000;0214083;POINT(392676.004020585 390180.956774808);;0214;02
230784;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214084;TWARDOGÓRA;987390;TWARDOGÓRA;9582;UL. TADEUSZA KOŚCIUSZKI;5;392701;390177;17,4581310000;51,3680700000;0214083;POINT(392700.982693489 390176.983736651);;0214;02
258725;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214084;TWARDOGÓRA;987390;TWARDOGÓRA;9582;UL. TADEUSZA KOŚCIUSZKI;13;392618;390192;17,4569340000;51,3681890000;0214083;POINT(392617.965994947 390191.964922834);;0214;02
258732;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214084;TWARDOGÓRA;987390;TWARDOGÓRA;9582;UL. TADEUSZA KOŚCIUSZKI;4;392640;390216;17,4572430000;51,3684090000;0214083;POINT(392639.982734332 390215.969579712);;0214;02
258742;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214084;TWARDOGÓRA;987390;TWARDOGÓRA;9582;UL. TADEUSZA KOŚCIUSZKI;6;392624;390220;17,4570120000;51,3684420000;0214083;POINT(392623.985559459 390219.976360408);;0214;02
258756;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214084;TWARDOGÓRA;987390;TWARDOGÓRA;9582;UL. TADEUSZA KOŚCIUSZKI;2;392658;390208;17,4575040000;51,3683410000;0214083;POINT(392657.98566732 390208.028034717);;0214;02
258716;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214084;TWARDOGÓRA;987390;TWARDOGÓRA;9582;UL. TADEUSZA KOŚCIUSZKI;9;392658;390185;17,4575110000;51,3681340000;0214083;POINT(392657.988703484 390185.005889871);;0214;02
